"","V1","V2","V3","V4","V5","V6","Farm","Cow_Code","Country"
"272",345,345,0,0,2,-9,"UK1","UK345","UK"
"273",346,346,0,0,2,-9,"UK1","UK346","UK"
"274",347,347,0,0,2,-9,"UK1","UK347","UK"
"275",348,348,0,0,2,-9,"UK1","UK348","UK"
"276",35,35,0,0,2,-9,"UK1","UK35","UK"
"277",350,350,0,0,2,-9,"UK1","UK350","UK"
"278",351,351,0,0,2,-9,"UK1","UK351","UK"
"279",352,352,0,0,2,-9,"UK1","UK352","UK"
"280",353,353,0,0,2,-9,"UK1","UK353","UK"
"281",354,354,0,0,2,-9,"UK1","UK354","UK"
"282",355,355,0,0,2,-9,"UK1","UK355","UK"
"283",356,356,0,0,2,-9,"UK1","UK356","UK"
"284",357,357,0,0,2,-9,"UK1","UK357","UK"
"285",358,358,0,0,2,-9,"UK1","UK358","UK"
"286",359,359,0,0,2,-9,"UK1","UK359","UK"
"287",36,36,0,0,2,-9,"UK1","UK36","UK"
"288",360,360,0,0,2,-9,"UK1","UK360","UK"
"289",361,361,0,0,2,-9,"UK1","UK361","UK"
"290",362,362,0,0,2,-9,"UK1","UK362","UK"
"291",363,363,0,0,2,-9,"UK1","UK363","UK"
"292",364,364,0,0,2,-9,"UK1","UK364","UK"
"293",365,365,0,0,2,-9,"UK2","UK365","UK"
"294",366,366,0,0,2,-9,"UK2","UK366","UK"
"295",367,367,0,0,2,-9,"UK1","UK367","UK"
"296",368,368,0,0,2,-9,"UK1","UK368","UK"
"297",369,369,0,0,2,-9,"UK1","UK369","UK"
"298",37,37,0,0,2,-9,"UK1","UK37","UK"
"299",370,370,0,0,2,-9,"UK1","UK370","UK"
"300",371,371,0,0,2,-9,"UK1","UK371","UK"
"301",372,372,0,0,2,-9,"UK2","UK372","UK"
"302",374,374,0,0,2,-9,"UK2","UK374","UK"
"303",375,375,0,0,2,-9,"UK2","UK375","UK"
"304",376,376,0,0,2,-9,"UK2","UK376","UK"
"305",377,377,0,0,2,-9,"UK2","UK377","UK"
"306",378,378,0,0,2,-9,"UK2","UK378","UK"
"307",379,379,0,0,2,-9,"UK2","UK379","UK"
"308",38,38,0,0,2,-9,"UK1","UK38","UK"
"309",380,380,0,0,2,-9,"UK2","UK380","UK"
"310",381,381,0,0,2,-9,"UK2","UK381","UK"
"311",382,382,0,0,2,-9,"UK2","UK382","UK"
"312",383,383,0,0,2,-9,"UK2","UK383","UK"
"313",384,384,0,0,2,-9,"UK2","UK384","UK"
"314",385,385,0,0,2,-9,"UK2","UK385","UK"
"315",386,386,0,0,2,-9,"UK2","UK386","UK"
"316",387,387,0,0,2,-9,"UK2","UK387","UK"
"317",388,388,0,0,2,-9,"UK2","UK388","UK"
"318",389,389,0,0,2,-9,"UK2","UK389","UK"
"319",39,39,0,0,2,-9,"UK1","UK39","UK"
